director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Joachim Rønning Espen Sandberg,Johnny Depp,Johnny Depp,Geoffrey Rush,Adventure Action Fantasy Comedy,pirates of the caribbean: dead men tell no tales,Johnny Depp Johnny Depp Geoffrey Rush Joachim Rønning Espen Sandberg Adventure Action Fantasy Comedy
Zack Snyder,Ben Affleck,Ben Affleck,Gal Gadot,Action Adventure Fantasy Sci-Fi,justice league,Ben Affleck Ben Affleck Gal Gadot Zack Snyder Action Adventure Fantasy Sci-Fi
Taika Waititi,Chris Hemsworth,Chris Hemsworth,Cate Blanchett,Action Adventure Fantasy Sci-Fi,thor: ragnarok,Chris Hemsworth Chris Hemsworth Cate Blanchett Taika Waititi Action Adventure Fantasy Sci-Fi
James Gunn,Chris Pratt,Chris Pratt,Dave Bautista,Action Adventure Comedy Sci-Fi,guardians of the galaxy vol. 2,Chris Pratt Chris Pratt Dave Bautista James Gunn Action Adventure Comedy Sci-Fi
Sean McNamara,Pierce Brosnan,Pierce Brosnan,Benjamin Walker,Fantasy Action Adventure,the king's daughter,Pierce Brosnan Pierce Brosnan Benjamin Walker Sean McNamara Fantasy Action Adventure
Adam Spinks,Ben Loyd-Holmes,Ben Loyd-Holmes,Neil Newbon,Thriller Adventure,extinction: nature has evolved,Ben Loyd-Holmes Ben Loyd-Holmes Neil Newbon Adam Spinks Thriller Adventure
Rucha Humnabadkar,Ali Fazal,Ali Fazal,Omi Vaidya,Drama Comedy,for here or to go?,Ali Fazal Ali Fazal Omi Vaidya Rucha Humnabadkar Drama Comedy
Sarik Andreasyan,Anton Pampushnyy,Anton Pampushnyy,Sebastien Sisak,Action Fantasy Sci-Fi,guardians,Anton Pampushnyy Anton Pampushnyy Sebastien Sisak Sarik Andreasyan Action Fantasy Sci-Fi
Peter Hutchings,Victoria Justice,Victoria Justice,Ashley Rickards,Comedy,the outcasts,Victoria Justice Victoria Justice Ashley Rickards Peter Hutchings Comedy
Patty Jenkins,Gal Gadot,Gal Gadot,Robin Wright,Action Adventure Fantasy,wonder woman,Gal Gadot Gal Gadot Robin Wright Patty Jenkins Action Adventure Fantasy
Kevin Munroe,Chris Murphy,Chris Murphy,Matt Olsen,Animation Adventure Comedy Action Family,sly cooper,Chris Murphy Chris Murphy Matt Olsen Kevin Munroe Animation Adventure Comedy Action Family
James Ponsoldt,Emma Watson,Emma Watson,John Boyega,Drama Thriller Sci-Fi,the circle,Emma Watson Emma Watson John Boyega James Ponsoldt Drama Thriller Sci-Fi
Trish Sie,Anna Kendrick,Anna Kendrick,Brittany Snow,Comedy,pitch perfect 3,Anna Kendrick Anna Kendrick Brittany Snow Trish Sie Comedy
Sean Byrne,Ethan Embry,Ethan Embry,Kiara Glasco,Horror,the devil's candy,Ethan Embry Ethan Embry Kiara Glasco Sean Byrne Horror
Roberto Doveris,Violeta Castillo,Violeta Castillo,Mauricio Vaca,Drama,las plantas,Violeta Castillo Violeta Castillo Mauricio Vaca Roberto Doveris Drama
Lloyd Kaufman,Asta Paredes,Asta Paredes,Zac Amino,Comedy Horror,"return to return to nuke 'em high, aka volume 2",Asta Paredes Asta Paredes Zac Amino Lloyd Kaufman Comedy Horror
David Jackson,Amanda Leighton,Amanda Leighton,Hannah Kasulka,TV Movie Thriller,the cheerleader murders,Amanda Leighton Amanda Leighton Hannah Kasulka David Jackson TV Movie Thriller
